filename,index,prob
Acanthodesmia_micropora/00046_00309-04.jpg,0,0.81855863
Acanthodesmia_micropora/02829_00075-29.jpg,0,0.8380119
Acanthodesmia_micropora/03589_00210-05.jpg,0,0.8527919
Acanthodesmia_micropora/04137_00291-06.jpg,0,0.8769448
Acanthodesmia_micropora/05044_00272-24.jpg,0,0.8559226
Acanthodesmia_micropora/05222_00196-10.jpg,0,0.8442086
Acanthodesmia_micropora/05795_00221-02.jpg,0,0.86365664
Acanthodesmia_micropora/06056_00296-24.jpg,0,0.55677307
Acanthodesmia_micropora/06331_00191-09.jpg,0,0.8749306
Acanthodesmia_micropora/06801_00145-08.jpg,0,0.85564315
Acanthodesmia_micropora/07178_00126-10.jpg,0,0.86620885
Acanthodesmia_micropora/07876_00082-11.jpg,0,0.8042034
Actinomma_leptoderma_boreale/01244_00390-24.jpg,1,0.88259155
Actinomma_leptoderma_boreale/02056_00140-02.jpg,1,0.89087015
Actinomma_leptoderma_boreale/03006_00332-09.jpg,12,0.82826144
Actinomma_leptoderma_boreale/04175_00031-06.jpg,1,0.8668331
Actinomma_leptoderma_boreale/04943_00007-14.jpg,1,0.4519751
Actinomma_leptoderma_boreale/05353_00205-14.jpg,1,0.85781485
Actinomma_leptoderma_boreale/05863_00169-05.jpg,21,0.8665754
Actinomma_leptoderma_boreale/06597_00183-09.jpg,1,0.90458435
Actinomma_leptoderma_boreale/07408_00093-30.jpg,1,0.5934117
Actinomma_leptoderma_boreale/07588_00329-32.jpg,1,0.7770038
Actinomma_leptoderma_boreale/08263_00198-14.jpg,1,0.7899937
Actinomma_leptoderma_boreale/09612_00034-22.jpg,1,0.8419704
Actinomma_leptoderma_boreale/10697_00242-14.jpg,1,0.9138263
Actinomma_leptoderma_boreale/14652_00141-34.jpg,1,0.7869436
Antarctissa_denticulata-cyrindrica/02391_00109-23.jpg,20,0.64958715
Antarctissa_denticulata-cyrindrica/03545_00060-13.jpg,2,0.8824942
Antarctissa_denticulata-cyrindrica/03959_00224-07.jpg,2,0.8553128
Antarctissa_denticulata-cyrindrica/04062_00459-11.jpg,2,0.8959943
Antarctissa_denticulata-cyrindrica/04136_00393-04.jpg,2,0.86473423
Antarctissa_denticulata-cyrindrica/04232_00046-02.jpg,2,0.8714769
Antarctissa_denticulata-cyrindrica/04355_00236-06.jpg,2,0.8800366
Antarctissa_denticulata-cyrindrica/04408_00421-05.jpg,2,0.89575124
